points,place,long_place,competition.id,competitor.id
550,3.0,3. place,2035,9396_21_6
175,3.0,3. place,2045,9396_21_6
5,,participation,2233,9396_21_6
324,5.0,5. place,2180,9396_21_6
1000,1.0,1. place,2311,19526_4_8
1000,1.0,1. place,2284,19526_4_8
320,,1/16,2298,19526_4_8
100,1.0,1. place,2304,19526_4_8
700,1.0,1. place,2293,19526_4_8
500,1.0,1. place,2227,19526_4_8
350,2.0,2. place,2317,19526_4_8
260,7.0,7. place,2239,19526_4_8
250,3.0,3. place,2260,19526_4_8
180,5.0,5. place,2238,19526_4_8
350,1.0,1. place,2045,19526_4_8
1000,1.0,1. place,2309,8167_6_5
1000,1.0,1. place,2288,8167_6_5
700,1.0,1. place,2306,8167_6_5
500,3.0,3. place,2296,8167_6_5
360,5.0,5. place,2282,8167_6_5
250,3.0,3. place,2267,8167_6_5
250,3.0,3. place,2227,8167_6_5
245,2.0,2. place,2200,8167_6_5
10,,participation,2239,8167_6_5
630,2.0,2. place,2180,8167_6_5
1400,2.0,2. place,2298,28260_13_10
1000,1.0,1. place,2315,28260_13_10
1000,1.0,1. place,2296,28260_13_10
1000,1.0,1. place,2282,28260_13_10
500,1.0,1. place,2260,28260_13_10
1000,3.0,3. place,2298,8178_6_7
1000,1.0,1. place,2289,8178_6_7
1000,1.0,1. place,2284,8178_6_7
10,,participation,2311,8178_6_7
350,3.0,3. place,2293,8178_6_7
770,2.0,2. place,2035,8178_6_7
250,3.0,3. place,2227,8178_6_7
144,,1/16,2180,8178_6_7
175,3.0,3. place,2045,8178_6_7
2000,1.0,1. place,2298,13208_13_2
1000,1.0,1. place,2296,13208_13_2
1100,1.0,1. place,2035,13208_13_2
500,1.0,1. place,2234,13208_13_2
520,7.0,7. place,2298,9365_20_1
500,3.0,3. place,2289,9365_20_1
360,5.0,5. place,2311,9365_20_1
252,5.0,5. place,2306,9365_20_1
182,7.0,7. place,2281,9365_20_1
700,1.0,1. place,2293,9365_20_1
500,3.0,3. place,2239,9365_20_1
144,,1/16,2180,9365_20_1
350,1.0,1. place,2200,9365_20_1
2000,1.0,1. place,2298,13854_61_3
700,2.0,2. place,2364,13854_61_3
500,3.0,3. place,2282,13854_61_3
160,,1/16,2315,13854_61_3
6,,participation,2436,13854_61_3
550,3.0,3. place,2035,13854_61_3
500,1.0,1. place,2317,13854_61_3
500,1.0,1. place,2233,13854_61_3
500,1.0,1. place,2230,13854_61_3
250,3.0,3. place,2267,13854_61_3
144,,1/16,2180,13854_61_3
1000,1.0,1. place,2296,7837_27_9
1000,1.0,1. place,2289,7837_27_9
700,2.0,2. place,2288,7837_27_9
500,3.0,3. place,2284,7837_27_9
20,,participation,2298,7837_27_9
6,,participation,2293,7837_27_9
500,1.0,1. place,2267,7837_27_9
396,5.0,5. place,2035,7837_27_9
250,3.0,3. place,2233,7837_27_9
250,3.0,3. place,2227,7837_27_9
175,3.0,3. place,2200,7837_27_9
324,5.0,5. place,2180,7837_27_9
1400,2.0,2. place,2298,23953_49_14
700,2.0,2. place,2284,23953_49_14
100,1.0,1. place,2307,23953_49_14
10,7.0,7. place*,2282,23953_49_14
700,1.0,1. place,2292,23953_49_14
500,1.0,1. place,2317,23953_49_14
500,3.0,3. place,2239,23953_49_14
350,2.0,2. place,2230,23953_49_14
250,3.0,3. place,2238,23953_49_14
250,3.0,3. place,2233,23953_49_14
350,1.0,1. place,2237,23953_49_14
1000,3.0,3. place,2298,7725_51_10
1000,1.0,1. place,2289,7725_51_10
500,3.0,3. place,2296,7725_51_10
1000,1.0,1. place,2239,7725_51_10
550,3.0,3. place,2035,7725_51_10
350,2.0,2. place,2234,7725_51_10
450,3.0,3. place,2180,7725_51_10
1000,1.0,1. place,2309,3239_20_8
720,5.0,5. place,2298,3239_20_8
700,2.0,2. place,2296,3239_20_8
500,3.0,3. place,2284,3239_20_8
350,3.0,3. place,2293,3239_20_8
500,3.0,3. place,2239,3239_20_8
250,3.0,3. place,2233,3239_20_8
250,3.0,3. place,2227,3239_20_8
176,,1/16,2035,3239_20_8
91,7.0,7. place,2200,3239_20_8
234,7.0,7. place,2180,3239_20_8
1000,1.0,1. place,2311,68901_8_4
720,5.0,5. place,2298,68901_8_4
700,2.0,2. place,2296,68901_8_4
490,2.0,2. place,2306,68901_8_4
50,3.0,3. place,2307,68901_8_4
770,,2. place,2035,68901_8_4
350,,2. place,2227,68901_8_4
260,,7. place,2239,68901_8_4
144,,1/16,2180,68901_8_4
5,,participation,2230,68901_8_4
175,,3. place,2235,68901_8_4
1000,1.0,1. place,2282,16709_61_2
500,3.0,3. place,2315,16709_61_2
360,5.0,5. place,2289,16709_61_2
320,,1/16,2298,16709_61_2
700,1.0,1. place,2436,16709_61_2
500,3.0,3. place,2239,16709_61_2
350,2.0,2. place,2230,16709_61_2
286,7.0,7. place,2035,16709_61_2
250,3.0,3. place,2317,16709_61_2
234,7.0,7. place,2180,16709_61_2
2000,1.0,1. place,2298,16119_48_7
500,3.0,3. place,2289,16119_48_7
360,5.0,5. place,2284,16119_48_7
112,,1/16,2306,16119_48_7
50,3.0,3. place,2304,16119_48_7
700,1.0,1. place,2292,16119_48_7
250,3.0,3. place,2233,16119_48_7
100,,participation,2180,16119_48_7
10,,participation,2239,16119_48_7
350,1.0,1. place,2052,16119_48_7
1000,1.0,1. place,2311,25741_8_6
1000,3.0,3. place,2298,25741_8_6
500,3.0,3. place,2284,25741_8_6
160,,1/16,2289,25741_8_6
100,1.0,1. place,2307,25741_8_6
500,1.0,1. place,2234,25741_8_6
180,5.0,5. place,2227,25741_8_6
176,,1/16,2035,25741_8_6
175,3.0,3. place,2045,25741_8_6
630,2.0,2. place,2180,25741_8_6
500,3.0,3. place,2282,3788_4_13
360,5.0,5. place,2311,3788_4_13
360,5.0,5. place,2289,3788_4_13
100,1.0,1. place,2304,3788_4_13
20,,participation,2298,3788_4_13
350,3.0,3. place,2293,3788_4_13
770,2.0,2. place,2035,3788_4_13
700,2.0,2. place,2239,3788_4_13
350,1.0,1. place,2045,3788_4_13
900,1.0,1. place,2180,3788_4_13
1000,1.0,1. place,2289,13809_48_5
720,5.0,5. place,2298,13809_48_5
500,3.0,3. place,2296,13809_48_5
500,3.0,3. place,2284,13809_48_5
260,7.0,7. place,2282,13809_48_5
700,1.0,1. place,2292,13809_48_5
160,,1/16,2239,13809_48_5
100,,participation,2180,13809_48_5
350,1.0,1. place,2052,13809_48_5
2000,1.0,1. place,2298,11650_13_11
1000,1.0,1. place,2296,11650_13_11
1000,1.0,1. place,2284,11650_13_11
250,3.0,3. place,2267,11650_13_11
1000,1.0,1. place,2315,28302_13_12
1000,3.0,3. place,2298,28302_13_12
1000,1.0,1. place,2296,28302_13_12
700,2.0,2. place,2282,28302_13_12
500,1.0,1. place,2260,28302_13_12
2000,1.0,1. place,2298,9344_13_1
1100,1.0,1. place,2035,9344_13_1
350,1.0,1. place,2235,9344_13_1
1000,1.0,1. place,2309,13437_4_9
1000,1.0,1. place,2284,13437_4_9
500,3.0,3. place,2289,13437_4_9
500,3.0,3. place,2288,13437_4_9
360,5.0,5. place,2282,13437_4_9
350,2.0,2. place,2260,13437_4_9
350,2.0,2. place,2238,13437_4_9
245,2.0,2. place,2253,13437_4_9
160,,1/16,2239,13437_4_9
130,7.0,7. place,2227,13437_4_9
450,3.0,3. place,2180,13437_4_9
1000,3.0,3. place,2298,22293_4_14
1000,1.0,1. place,2288,22293_4_14
500,3.0,3. place,2289,22293_4_14
500,3.0,3. place,2284,22293_4_14
500,3.0,3. place,2282,22293_4_14
360,5.0,5. place,2239,22293_4_14
350,1.0,1. place,2253,22293_4_14
250,3.0,3. place,2260,22293_4_14
5,,participation,2230,22293_4_14
234,7.0,7. place,2180,22293_4_14
2000,1.0,1. place,2298,438_49_10
700,2.0,2. place,2296,438_49_10
700,1.0,1. place,2281,438_49_10
500,3.0,3. place,2288,438_49_10
360,5.0,5. place,2284,438_49_10
350,3.0,3. place,2292,438_49_10
5,,participation,2267,438_49_10
1400,2.0,2. place,2298,17805_13_3
1000,1.0,1. place,2315,17805_13_3
700,2.0,2. place,2282,17805_13_3
500,3.0,3. place,2239,17805_13_3
80,,1/16,2260,17805_13_3
630,2.0,2. place,2180,17805_13_3
1000,1.0,1. place,2296,36972_49_4
1000,1.0,1. place,2289,36972_49_4
320,,1/16,2298,36972_49_4
260,7.0,7. place,2282,36972_49_4
252,5.0,5. place,2306,36972_49_4
700,1.0,1. place,2292,36972_49_4
245,2.0,2. place,2253,36972_49_4
60,,1/32,2230,36972_49_4
50,1.0,1. place,2232,36972_49_4
10,,participation,2239,36972_49_4
5,,participation,2260,36972_49_4
350,1.0,1. place,2237,36972_49_4
1000,3.0,3. place,2298,9713_15_2
700,2.0,2. place,2282,9713_15_2
350,3.0,3. place,2281,9713_15_2
550,3.0,3. place,2035,9713_15_2
500,1.0,1. place,2230,9713_15_2
245,2.0,2. place,2235,9713_15_2
900,1.0,1. place,2180,9713_15_2
700,2.0,2. place,2311,14728_23_8
700,2.0,2. place,2309,14728_23_8
700,2.0,2. place,2284,14728_23_8
320,,1/16,2298,14728_23_8
112,,1/16,2306,14728_23_8
252,5.0,5. place,2293,14728_23_8
500,1.0,1. place,2234,14728_23_8
350,2.0,2. place,2233,14728_23_8
250,3.0,3. place,2238,14728_23_8
160,,1/16,2239,14728_23_8
130,7.0,7. place,2230,14728_23_8
56,,1/16,2200,14728_23_8
520,7.0,7. place,2298,36058_51_6
