competitor.id,competitor.sum_points,competitor.place,competitor.place_prev,competitor.id_person,competitor.family_name,competitor.given_name,competitor.gender,competitor.timestamp_version,competitor.id_country,competitor.id_weight
19399_275_9,629,58,58.0,19399,PETROVIC,Nadezda,female,v1667471148,275,9
38805_291_1,622,58,58.0,38805,ZULU,Simon,male,v1612187243,291,1
39933_23_6,620,58,59.0,39933,PIRELLI,Gennaro,male,v1616090147,23,6
10916_49_10,590,58,58.0,10916,PEREIRA,Jessica,female,v1581595431,49,10
52316_17_11,586,58,58.0,52316,KHOJIEVA,Farangiz,female,v1616330204,17,11
34672_4_7,542,58,59.0,34672,ANDREEV,Guerman,male,v1581497023,4,7
21030_10_12,532,58,58.0,21030,AKDENIZ,Minel,female,v1583146675,10,12
23948_49_8,486,58,58.0,23948,FERREIRA,Natasha,female,v1558514715,49,8
29048_25_14,439,58,58.0,29048,WOLSZCZAK,Kinga,female,v1666276293,25,14
13312_57_13,409,58,58.0,13312,PAPADAKIS,Nefeli,female,v1611913316,57,13
25461_17_5,736,59,60.0,25461,JANDREEV,Shermukhammad,male,v1616330565,17,5
37005_10_2,733,59,60.0,37005,DEMIREL,Muhammed,male,v1618572228,10,2
1673_4_4,720,59,59.0,1673,PIETRI,Loic,male,v1616487667,4,4
45257_60_3,708,59,60.0,45257,DOUKKALI,Hassan,male,v1581930457,60,3
86_26_1,616,59,59.0,86,MCKENZIE,Ashley,male,v1608641381,26,1
22682_2_6,608,59,60.0,22682,FARA,Aaron,male,v1645532192,2,6
28354_48_9,592,59,59.0,28354,HURTADO MUNOZ,Melissa,female,v1653921140,48,9
18294_47_10,579,59,59.0,18294,SAMARDZIC,Andjela,female,v1650362424,47,10
34330_78_11,563,59,59.0,34330,FAYE,Anna Siga,female,v1645522828,78,11
19893_193_12,521,59,60.0,19893,GALANDI,Marlene,female,v1641835869,193,12
17382_13_7,505,59,60.0,17382,OGAWA,Yusei,male,v1521453577,13,7
50146_4_8,482,59,59.0,50146,BERES,Lea,female,v1551959513,4,8
7941_49_14,420,59,59.0,7941,YAMAKAWA,Camila,female,v1643726017,49,14
34533_74_13,408,59,59.0,34533,SHIH,Liu Li-Ling,female,v1653922341,74,13
20137_33_2,732,60,61.0,20137,SAHA,Luukas,male,v1662046982,33,2
19926_23_4,708,60,61.0,19926,GAMBA,Giacomo,male,v1653923002,23,4
69037_13_3,700,60,61.0,69037,TANAKA,Ryuga,male,v1652322534,13,3
